1024TGE,Alfa Romeo,Guiullia,negro,23500.0,521911,false,3000,1500,
9639LUV,Citroen,C4,negro,19300.0,3055440,false,3000,1500,
3719HMX,Opel,Astra,rojo,23658.0,2134582,false,3000,1500,
5006CAV,Opel,Astra,rojo,23658.0,4380061,false,3000,1500,
8294ZZI,Citroen,C4,amarillo,19300.0,8046290,false,3000,1500,
4313ZSY,Opel,Astra,amarillo,23658.0,9531394,false,3000,1500,
1449HVJ,Citroen,C4,amarillo,19300.0,9512293,false,3000,1500,
3172QRO,Alfa Romeo,Guiullia,azul,23500.0,6805861,false,3000,1500,
5417LDC,Alfa Romeo,Guiullia,rojo,23500.0,9335187,false,3000,1500,
3853ENW,Renault,Megane,amarillo,21320.0,608161,false,3000,1500,
1839FOH,Seat,Ibiza,azul,18569.0,2317534,false,3000,1500,
3812LDF,Alfa Romeo,Guiullia,rojo,23500.0,2286340,false,3000,1500,
3601JPU,Renault,Megane,amarillo,21320.0,8455180,false,3000,1500,
7785JOV,Alfa Romeo,Guiullia,negro,23500.0,381440,false,3000,1500,
7440AVG,Seat,Ibiza,azul,18569.0,1415690,false,3000,1500,
3452AQF,Renault,Megane,dorado,21320.0,345941,false,3000,1500,
8144DZB,Alfa Romeo,Guiullia,rojo,23500.0,265994,false,3000,1500,
4845AGL,Alfa Romeo,Guiullia,amarillo,23500.0,3882342,false,3000,1500,
2636CZV,Citroen,C4,amarillo,19300.0,8387715,false,3000,1500,
8464OYF,Alfa Romeo,Guiullia,rojo,23500.0,9359587,false,3000,1500,
4429AJO,Citroen,C4,amarillo,19300.0,5026426,false,3000,1500,
8306KOH,Seat,Ibiza,rojo,18569.0,4582445,false,3000,1500,
7388WCU,Opel,Astra,rojo,23658.0,438824,false,3000,1500,
3952BVM,Renault,Megane,negro,21320.0,4798447,false,3000,1500,
4607ANK,Alfa Romeo,Guiullia,negro,23500.0,2524983,false,3000,1500,
7132ASR,Alfa Romeo,Guiullia,amarillo,23500.0,624930,false,3000,1500,
0798IOB,Citroen,C4,dorado,19300.0,5941648,false,3000,1500,
1387EIE,Opel,Astra,dorado,23658.0,4679187,false,3000,1500,
7535TIP,Alfa Romeo,Guiullia,dorado,23500.0,6260126,false,3000,1500,
4137YEU,Citroen,C4,azul,19300.0,6886070,false,3000,1500,
